유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,13.5,35.8
기타관광,기타관광,13.5,64.2
레저스포츠,기타레저스포츠,8.6,6.1
레저스포츠,수상레저스포츠,8.6,2.7
레저스포츠,육상레저스포츠,8.6,91.2
문화관광,기타문화관광지,9.8,9.0
문화관광,도시공원,9.8,40.6
문화관광,랜드마크관광,9.8,5.4
문화관광,복합관광시설,9.8,6.9
문화관광,테마공원,9.8,15.2
문화관광,레저스포츠시설,9.8,2.3
문화관광,공연시설,9.8,11.8
문화관광,전시시설,9.8,8.7
쇼핑,쇼핑몰,17.7,94.1
쇼핑,시장,17.7,4.3
쇼핑,기타쇼핑시설,17.7,1.6
숙박,기타숙박,4.3,0.0
숙박,모텔,4.3,33.1
숙박,펜션/민박,4.3,8.0
숙박,호스텔,4.3,2.2
숙박,호텔,4.3,30.4
숙박,캠핑,4.3,26.2
역사관광,역사유물,1.3,0.5
역사관광,역사유적지,1.3,32.6
역사관광,종교성지,1.3,67.0
음식,간이음식,43.7,11.4
음식,외국식,43.7,6.7
음식,음식점기타,43.7,0.2
음식,전문음식,43.7,16.0
음식,한식,43.7,31.4
음식,카페/찻집,43.7,34.2
자연관광,자연경관(산),0.9,44.3
자연관광,자연경관(하천/해양),0.9,25.0
자연관광,자연공원,0.9,30.7
체험관광,농/산/어촌체험,0.3,75.3
체험관광,웰니스관광,0.3,20.9
체험관광,공예체험,0.3,3.8
