기준연월,목적지 유형,목적지 검색량
202203,전체,544777
202203,숙박,23296
202203,음식,238018
202203,기타관광,73539
202203,쇼핑,96312
202203,문화관광,53209
202203,역사관광,7135
202203,자연관광,4663
202203,체험관광,1649
202203,레저스포츠,46956
