거리구분명,방문자수,방문자비율
30km 미만,1496296.0,45.29
30km 이상 70km 미만,1473668.0,44.61
70km 이상 140km 미만 ,143426.0,4.34
140km 이상 190km 미만,49770.0,1.51
190km 이상 240km 미만,23650.0,0.72
240km 이상 ,116676.0,3.53
