유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,13.6,32.2
기타관광,기타관광,13.6,67.8
레저스포츠,기타레저스포츠,8.3,7.9
레저스포츠,수상레저스포츠,8.3,3.3
레저스포츠,육상레저스포츠,8.3,88.8
문화관광,기타문화관광지,12.3,4.0
문화관광,도시/지역문화관광,12.3,0.1
문화관광,도시공원,12.3,43.6
문화관광,랜드마크관광,12.3,5.1
문화관광,복합관광시설,12.3,10.7
문화관광,테마공원,12.3,20.1
문화관광,레저스포츠시설,12.3,1.4
문화관광,공연시설,12.3,8.4
문화관광,전시시설,12.3,6.5
쇼핑,쇼핑몰,17.5,95.1
쇼핑,시장,17.5,3.8
쇼핑,기타쇼핑시설,17.5,1.2
숙박,모텔,4.6,28.4
숙박,펜션/민박,4.6,11.9
숙박,호스텔,4.6,2.5
숙박,호텔,4.6,21.8
숙박,캠핑,4.6,35.4
역사관광,역사유물,1.9,0.8
역사관광,역사유적지,1.9,49.4
역사관광,종교성지,1.9,49.8
음식,간이음식,40.0,8.7
음식,외국식,40.0,7.2
음식,음식점기타,40.0,0.3
음식,전문음식,40.0,17.7
음식,한식,40.0,36.8
음식,카페/찻집,40.0,29.2
자연관광,자연경관(하천/해양),1.5,16.3
자연관광,자연경관(산),1.5,25.5
자연관광,자연공원,1.5,58.3
체험관광,농/산/어촌체험,0.4,76.0
체험관광,웰니스관광,0.4,19.8
체험관광,공예체험,0.4,4.2
