방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.8,2.7
60~69세,9.2,5.9
50~59세,13.0,8.3
40~49세,11.4,6.7
30~39세,10.6,7.3
20~29세,11.0,6.3
10~19세,2.1,1.9
0~9세,0.5,0.5
