국가명,비율(%)
기타,20.77
일본,17.27
태국,11.63
미국,8.11
중국,6.88
베트남,5.64
인도네시아,4.42
싱가포르,4.27
필리핀,2.78
대만,2.57
프랑스,2.11
독일,2.04
말레이시아,1.69
인도,1.69
캐나다,1.64
오스트레일리아,1.52
홍콩,1.26
영국,1.17
몽골,1.12
러시아,0.58
카자흐스탄,0.33
튀르키예,0.17
멕시코,0.16
사우디아라비아,0.11
아랍에미리트,0.06
