기준연월,목적지 유형,목적지 검색량
202210,전체,796182
202210,숙박,36409
202210,음식,318804
202210,기타관광,108551
202210,쇼핑,139107
202210,자연관광,11784
202210,문화관광,97604
202210,역사관광,14999
202210,체험관광,2937
202210,레저스포츠,65987
