RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
53322221,20240401,10만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경기도,가평군/광명시,2명,2박 3일,F,20대,미혼,미혼,기타/무직,모름
53322604,20240401,10~20만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,3~5만원 미만,1만원 미만,강원도,속초시/춘천시,3명,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),전업주부,300~500만원 미만
53322757,20240401,모름,모름,모름,모름,모름,모름,모름,강원도,홍천군/횡성군,5명 이상,2박 3일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
53322963,20240401,30~40만원 미만,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,제주도,모름,2명,3박 4일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상
53323037,20240401,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,제주도,구좌읍,혼자서,3박 4일,F,20대,미혼,미혼,대학/대학원생,700만원 이상
53323361,20240401,40만원 이상,10만원 이상,10만원 이상,1만원 미만,10만원 이상,1만원 미만,1만원 미만,강원도,속초시,2명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만
53323418,20240401,30~40만원 미만,1만원 미만,10만원 이상,1~3만원 미만,5~7만원 미만,5~7만원 미만,7~10만원 미만,서울시,모름,2명,3박 4일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,500~700만원 미만
53323445,20240401,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,혼자서,2박 3일,M,30대,미혼,미혼,기타/무직,모름
53324102,20240401,20~30만원 미만,1만원 미만,10만원 이상,1~3만원 미만,1만원 미만,5~7만원 미만,1만원 미만,경기도,용인시,4명,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만
53324823,20240401,20~30만원 미만,5~7만원 미만,10만원 이상,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,강원도,평창군,4명,6박 7일 이상,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
53325127,20240401,20~30만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,강원도,속초시,4명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만
53325421,20240401,20~30만원 미만,7~10만원 미만,7~10만원 미만,10만원 이상,1만원 미만,1~3만원 미만,1만원 미만,서울시,모름,혼자서,3박 4일,M,20대,미혼,미혼,대학/대학원생,700만원 이상
53325726,20240401,20~30만원 미만,5~7만원 미만,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,속초시,2명,2박 3일,M,30대,기혼,신혼기(자녀 없음),사무/기술직,500~700만원 미만
53325838,20240401,40만원 이상,10만원 이상,10만원 이상,7~10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,서울시,모름,4명,4박 5일,F,30대,미혼,미혼,사무/기술직,500~700만원 미만
53326024,20240401,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,제주도,모름,2명,모름,F,20대,미혼,미혼,사무/기술직,300~500만원 미만
53326136,20240401,10만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,구체적인 지역 모름,2명,6박 7일 이상,F,40대,미혼,미혼,사무/기술직,700만원 이상
53326163,20240401,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,충청남도,부여군,2명,2박 3일,F,60대 이상,기타,자녀 성인(막내 대학),전업주부,500~700만원 미만
53326233,20240401,20~30만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,강원도,인제군,2명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상
53326459,20240401,10~20만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,2명,1박 2일,F,40대,미혼,미혼,사무/기술직,300~500만원 미만
53326521,20240401,20~30만원 미만,5~7만원 미만,3~5만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,1만원 미만,충청남도,금산군/논산시/부여군/아산시/예산군/청양군,4명,5박 6일,F,60대 이상,미혼,미혼,기타/무직,300만원 미만
53326599,20240401,10~20만원 미만,7~10만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,강원도,속초시,2명,1박 2일,M,60대 이상,기혼,자녀 독립(막내 결혼),판매/서비스직,300~500만원 미만
53326663,20240401,10~20만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경상남도,통영시,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만
53326710,20240401,30~40만원 미만,10만원 이상,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,3명,3박 4일,M,60대 이상,기혼,자녀 성인(막내 대학),자영업,500~700만원 미만
53326750,20240401,10~20만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,부산시,모름,2명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
53326770,20240401,10~20만원 미만,1만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,전주시,혼자서,3박 4일,M,20대,미혼,미혼,사무/기술직,300~500만원 미만
53326779,20240401,30~40만원 미만,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,부산시,모름,2명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상
53326914,20240401,10~20만원 미만,7~10만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,충청북도,제천시,혼자서,1박 2일,M,50대,기혼,자녀 독립(막내 결혼),기능/숙련/일반작업직,300만원 미만
53327076,20240401,10~20만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,5~7만원 미만,1만원 미만,부산시,모름,4명,3박 4일,F,50대,기혼,자녀 성인(막내 대학),기타/무직,모름
53327494,20240401,모름,모름,모름,모름,모름,모름,모름,경기도,평택시,2명,1박 2일,M,50대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,300~500만원 미만
53327525,20240401,10만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,전라북도,전주시,2명,1박 2일,F,30대,미혼,미혼,사무/기술직,300만원 미만
53328221,20240401,10만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,안동시,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,500~700만원 미만
