RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"104100","20250512","20~30만원 미만","3~5만원 미만","10만원 이상","3~5만원 미만","1만원 미만","3~5만원 미만","1만원 미만","충청남도","논산시/아산시","모름","1박 2일","F","60대 이상","기혼","자녀 독립(막내 결혼)","판매/서비스직","모름"
"162194","20250512","10~20만원 미만","3~5만원 미만","1~3만원 미만","3~5만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","경상북도","경주시","4명","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","300~500만원 미만"
"256669","20250512","40만원 이상","10만원 이상","10만원 이상","10만원 이상","5~7만원 미만","5~7만원 미만","1만원 미만","부산시","모름","2명","3박 4일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","300~500만원 미만"
"277546","20250512","30~40만원 미만","10만원 이상","10만원 이상","5~7만원 미만","5~7만원 미만","1만원 미만","1만원 미만","강원도","속초시","4명","2박 3일","F","60대 이상","미혼","미혼","기타/무직","300만원 미만"
"283824","20250512","20~30만원 미만","5~7만원 미만","7~10만원 미만","5~7만원 미만","1만원 미만","5~7만원 미만","1만원 미만","충청북도","제천시","4명","1박 2일","F","20대","미혼","미혼","사무/기술직","500~700만원 미만"
"350818","20250512","모름","모름","모름","모름","모름","모름","모름","인천시","모름","2명","1박 2일","F","20대","미혼","미혼","판매/서비스직","모름"
"365477","20250512","모름","모름","모름","모름","모름","모름","모름","전라북도","전주시","3명","1박 2일","F","20대","미혼","미혼","기타/무직","모름"
"371135","20250512","10~20만원 미만","10만원 이상","3~5만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","경기도","양평군","2명","1박 2일","M","30대","기혼","신혼기(자녀 없음)","사무/기술직","300~500만원 미만"
"38127","20250512","10만원 미만","1만원 미만","1~3만원 미만","1만원 미만","3~5만원 미만","1만원 미만","1만원 미만","경상북도","문경시","2명","1박 2일","F","60대 이상","기혼","자녀 독립(막내 결혼)","판매/서비스직","700만원 이상"
"388951","20250512","10~20만원 미만","5~7만원 미만","5~7만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","강릉시/고성군/양양군","2명","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","700만원 이상"
"390991","20250512","10~20만원 미만","3~5만원 미만","7~10만원 미만","1~3만원 미만","1만원 미만","1~3만원 미만","1만원 미만","경기도","광주시","4명","2박 3일","F","60대 이상","기타","자녀 독립(막내 결혼)","전업주부","500~700만원 미만"
"399970","20250512","20~30만원 미만","5~7만원 미만","10만원 이상","1만원 미만","3~5만원 미만","1만원 미만","1만원 미만","경기도","가평군","혼자서","3박 4일","M","30대","미혼","미혼","기능/숙련/일반작업직","300~500만원 미만"
"401032","20250512","10~20만원 미만","1만원 미만","7~10만원 미만","1만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","경기도","김포시","5명 이상","2박 3일","M","30대","미혼","미혼","기능/숙련/일반작업직","모름"
"405907","20250512","10~20만원 미만","3~5만원 미만","3~5만원 미만","5~7만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","울산시","모름","2명","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","500~700만원 미만"
"409990","20250512","40만원 이상","10만원 이상","10만원 이상","10만원 이상","1만원 미만","10만원 이상","1만원 미만","제주도","구좌읍/서귀포시(시내동)","4명","5박 6일","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","500~700만원 미만"
"411802","20250512","40만원 이상","10만원 이상","10만원 이상","10만원 이상","1만원 미만","3~5만원 미만","1만원 미만","전라남도","여수시","혼자서","3박 4일","M","30대","미혼","미혼","사무/기술직","500~700만원 미만"
"416574","20250512","40만원 이상","10만원 이상","10만원 이상","10만원 이상","1만원 미만","1만원 미만","10만원 이상","제주도","서귀포시(시내동)/성산읍/안덕면","5명 이상","4박 5일","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","700만원 이상"
"417866","20250512","모름","모름","모름","모름","모름","모름","모름","강원도","고성군/양구군","2명","6박 7일 이상","M","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"421003","20250512","40만원 이상","10만원 이상","10만원 이상","1만원 미만","1만원 미만","1만원 미만","1만원 미만","서울시","모름","3명","6박 7일 이상","M","30대","미혼","미혼","사무/기술직","모름"
"421282","20250512","10만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","경기도","김포시","4명","3박 4일","M","20대","미혼","미혼","대학/대학원생","300만원 미만"
"421488","20250512","모름","모름","모름","모름","모름","모름","모름","대전시","모름","2명","2박 3일","F","20대","미혼","미혼","기타/무직","모름"
"422345","20250512","30~40만원 미만","1만원 미만","10만원 이상","7~10만원 미만","7~10만원 미만","1만원 미만","1만원 미만","부산시","모름","2명","3박 4일","M","20대","미혼","미혼","사무/기술직","700만원 이상"
"423985","20250512","10~20만원 미만","5~7만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","경기도","남양주시/양주시","2명","4박 5일","M","20대","미혼","미혼","사무/기술직","500~700만원 미만"
"425066","20250512","모름","모름","모름","모름","모름","모름","모름","서울시","모름","혼자서","2박 3일","M","20대","미혼","미혼","기타/무직","모름"
"425439","20250512","모름","모름","모름","모름","모름","모름","모름","제주도","한림읍","2명","3박 4일","M","20대","미혼","미혼","사무/기술직","300만원 미만"
"446972","20250512","40만원 이상","10만원 이상","10만원 이상","3~5만원 미만","1~3만원 미만","10만원 이상","1만원 미만","전라남도","강진군/나주시/목포시/함평군","모름","3박 4일","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","700만원 이상"
"450326","20250512","20~30만원 미만","5~7만원 미만","5~7만원 미만","5~7만원 미만","1만원 미만","5~7만원 미만","1만원 미만","강원도","속초시","4명","2박 3일","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","300~500만원 미만"
"452072","20250512","10~20만원 미만","7~10만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","원주시","3명","2박 3일","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"454310","20250512","모름","모름","모름","모름","모름","모름","모름","경기도","가평군","4명","1박 2일","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"455735","20250512","모름","모름","모름","모름","모름","모름","모름","전라남도","순천시","2명","1박 2일","M","20대","미혼","미혼","기타/무직","모름"
"458377","20250512","10만원 미만","3~5만원 미만","1만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","충청남도","태안군","2명","1박 2일","M","20대","미혼","미혼","대학/대학원생","700만원 이상"
"458571","20250512","모름","모름","모름","모름","모름","모름","모름","경상북도","포항시","4명","1박 2일","F","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"460300","20250512","모름","모름","모름","모름","모름","모름","모름","강원도","속초시","혼자서","2박 3일","M","20대","미혼","미혼","대학/대학원생","모름"
"467042","20250512","모름","모름","모름","모름","모름","모름","모름","울산시","모름","혼자서","3박 4일","M","20대","미혼","미혼","경영/관리/전문직","모름"
