RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"105156","20250721","10~20만원 미만","3~5만원 미만","3~5만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","충청북도","청주시","2명","1박 2일","M","60대 이상","기혼","자녀 독립(막내 결혼)","기능/숙련/일반작업직","300~500만원 미만"
"149570","20250721","20~30만원 미만","1만원 미만","10만원 이상","5~7만원 미만","1만원 미만","1만원 미만","5~7만원 미만","충청남도","세종특별자치시","모름","1박 2일","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","모름"
"155829","20250721","10~20만원 미만","5~7만원 미만","1~3만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","서울시","모름","2명","2박 3일","M","30대","기혼","신혼기(자녀 없음)","자영업","300~500만원 미만"
"200996","20250721","10~20만원 미만","3~5만원 미만","5~7만원 미만","3~5만원 미만","1만원 미만","3~5만원 미만","1만원 미만","경상남도","양산시","3명","2박 3일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"207006","20250721","10~20만원 미만","1만원 미만","7~10만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","대전시","모름","혼자서","2박 3일","F","60대 이상","미혼","미혼","기타/무직","300만원 미만"
"236019","20250721","10~20만원 미만","1만원 미만","1~3만원 미만","3~5만원 미만","3~5만원 미만","1~3만원 미만","1만원 미만","부산시","모름","2명","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","300~500만원 미만"
"240754","20250721","10만원 미만","3~5만원 미만","5~7만원 미만","1만원 미만","1만원 미만","1만원 미만","1만원 미만","충청남도","보령시","5명 이상","1박 2일","F","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"250713","20250721","10~20만원 미만","1만원 미만","7~10만원 미만","1만원 미만","1~3만원 미만","3~5만원 미만","1만원 미만","전라북도","군산시","2명","2박 3일","M","60대 이상","기혼","자녀 독립(막내 결혼)","기능/숙련/일반작업직","300~500만원 미만"
"250953","20250721","30~40만원 미만","10만원 이상","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","1~3만원 미만","인천시","모름","4명","2박 3일","F","20대","미혼","미혼","경영/관리/전문직","700만원 이상"
"330395","20250721","모름","모름","모름","모름","모름","모름","모름","경기도","양평군","모름","1박 2일","M","30대","기타","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"347289","20250721","20~30만원 미만","5~7만원 미만","10만원 이상","5~7만원 미만","1만원 미만","1~3만원 미만","3~5만원 미만","전라북도","임실군","3명","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","판매/서비스직","300~500만원 미만"
"360124","20250721","30~40만원 미만","1만원 미만","10만원 이상","7~10만원 미만","1만원 미만","1만원 미만","1~3만원 미만","부산시","모름","2명","3박 4일","M","60대 이상","기혼","자녀 성인(막내 대학)","기타/무직","500~700만원 미만"
"369603","20250721","10만원 미만","5~7만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","충청남도","공주시","2명","1박 2일","M","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","500~700만원 미만"
"383175","20250721","30~40만원 미만","10만원 이상","5~7만원 미만","5~7만원 미만","1만원 미만","5~7만원 미만","3~5만원 미만","전라남도","여수시","2명","1박 2일","M","30대","미혼","미혼","사무/기술직","300만원 미만"
"383429","20250721","모름","모름","모름","모름","모름","모름","모름","경기도","파주시","2명","2박 3일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"386728","20250721","모름","모름","모름","모름","모름","모름","모름","충청남도","공주시","2명","3박 4일","M","30대","미혼","미혼","자영업","모름"
"387972","20250721","모름","모름","모름","모름","모름","모름","모름","대전시","모름","혼자서","2박 3일","F","30대","미혼","미혼","사무/기술직","모름"
"402146","20250721","10~20만원 미만","1만원 미만","10만원 이상","1만원 미만","1만원 미만","1만원 미만","1만원 미만","부산시","모름","2명","1박 2일","F","60대 이상","기혼","자녀 독립(막내 결혼)","자영업","500~700만원 미만"
"410924","20250721","30~40만원 미만","10만원 이상","7~10만원 미만","5~7만원 미만","3~5만원 미만","1만원 미만","1만원 미만","전라북도","군산시","3명","1박 2일","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
"421092","20250721","40만원 이상","10만원 이상","10만원 이상","5~7만원 미만","5~7만원 미만","1만원 미만","1만원 미만","부산시","모름","2명","3박 4일","M","20대","미혼","미혼","사무/기술직","700만원 이상"
"421289","20250721","모름","모름","모름","모름","모름","모름","모름","전라남도","구체적인 지역 모름","2명","4박 5일","M","30대","미혼","미혼","판매/서비스직","모름"
"422345","20250721","30~40만원 미만","10만원 이상","10만원 이상","3~5만원 미만","3~5만원 미만","1만원 미만","1만원 미만","부산시","모름","2명","2박 3일","M","20대","미혼","미혼","사무/기술직","700만원 이상"
"424422","20250721","10~20만원 미만","3~5만원 미만","5~7만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","대전시","모름","3명","1박 2일","M","20대","미혼","미혼","대학/대학원생","모름"
"424679","20250721","30~40만원 미만","10만원 이상","10만원 이상","5~7만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","속초시","4명","4박 5일","M","20대","미혼","미혼","대학/대학원생","700만원 이상"
"425066","20250721","모름","모름","모름","모름","모름","모름","모름","강원도","강릉시/원주시","혼자서","2박 3일","M","20대","미혼","미혼","기타/무직","모름"
"429389","20250721","10~20만원 미만","3~5만원 미만","1~3만원 미만","1~3만원 미만","3~5만원 미만","1~3만원 미만","1만원 미만","충청남도","천안시","2명","1박 2일","M","20대","미혼","미혼","사무/기술직","300~500만원 미만"
"436616","20250721","모름","모름","모름","모름","모름","모름","모름","경상북도","경주시","4명","1박 2일","M","20대","미혼","미혼","기타/무직","모름"
"439905","20250721","10~20만원 미만","5~7만원 미만","1만원 미만","1만원 미만","1만원 미만","5~7만원 미만","1만원 미만","강원도","영월군","3명","2박 3일","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"442587","20250721","20~30만원 미만","3~5만원 미만","7~10만원 미만","5~7만원 미만","1만원 미만","1~3만원 미만","1~3만원 미만","경상북도","문경시","4명","2박 3일","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","500~700만원 미만"
"444122","20250721","10~20만원 미만","5~7만원 미만","5~7만원 미만","1만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","강릉시","4명","1박 2일","F","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
"448315","20250721","10만원 미만","1~3만원 미만","1만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","서울시","모름","혼자서","1박 2일","M","30대","미혼","미혼","기능/숙련/일반작업직","500~700만원 미만"
"44974","20250721","20~30만원 미만","5~7만원 미만","5~7만원 미만","10만원 이상","1만원 미만","3~5만원 미만","1만원 미만","전라남도","순천시","3명","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"450261","20250721","모름","모름","모름","모름","모름","모름","모름","인천시","모름","혼자서","6박 7일 이상","M","20대","미혼","미혼","대학/대학원생","모름"
"451850","20250721","20~30만원 미만","7~10만원 미만","7~10만원 미만","3~5만원 미만","1만원 미만","1~3만원 미만","1만원 미만","전라남도","고흥군","2명","2박 3일","M","30대","미혼","미혼","사무/기술직","700만원 이상"
"452561","20250721","10~20만원 미만","3~5만원 미만","5~7만원 미만","1만원 미만","1~3만원 미만","1만원 미만","1만원 미만","경상북도","경주시","5명 이상","2박 3일","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","300~500만원 미만"
"452906","20250721","20~30만원 미만","5~7만원 미만","7~10만원 미만","1~3만원 미만","3~5만원 미만","5~7만원 미만","1만원 미만","제주도","제주시(시내동)","4명","3박 4일","M","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"454411","20250721","20~30만원 미만","3~5만원 미만","10만원 이상","1~3만원 미만","5~7만원 미만","1만원 미만","1만원 미만","경기도","수원시","2명","1박 2일","M","20대","미혼","미혼","기능/숙련/일반작업직","300~500만원 미만"
"458113","20250721","10만원 미만","1만원 미만","3~5만원 미만","1~3만원 미만","1만원 미만","1~3만원 미만","1만원 미만","제주도","조천읍","2명","3박 4일","F","20대","미혼","미혼","사무/기술직","300만원 미만"
"463481","20250721","10만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","대구시","모름","혼자서","2박 3일","M","20대","미혼","미혼","사무/기술직","700만원 이상"
"466998","20250721","40만원 이상","10만원 이상","10만원 이상","10만원 이상","10만원 이상","1만원 미만","1만원 미만","부산시","모름","3명","3박 4일","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","700만원 이상"
"467477","20250721","10만원 미만","1~3만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","1만원 미만","경기도","용인시","2명","6박 7일 이상","M","20대","미혼","미혼","대학/대학원생","300~500만원 미만"
"469666","20250721","40만원 이상","10만원 이상","10만원 이상","5~7만원 미만","10만원 이상","5~7만원 미만","1만원 미만","제주도","제주시(시내동)","4명","3박 4일","M","20대","미혼","미혼","사무/기술직","700만원 이상"
"469695","20250721","모름","모름","모름","모름","모름","모름","모름","전라남도","순천시/여수시","5명 이상","2박 3일","F","20대","미혼","미혼","대학/대학원생","700만원 이상"
"469944","20250721","10만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","서울시","모름","2명","3박 4일","M","20대","미혼","미혼","판매/서비스직","300만원 미만"
