RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"470788","20241118","모름","모름","모름","모름","모름","모름","모름","대구시","모름","혼자서","5박 6일","M","20대","미혼","미혼","기타/무직","모름"
"475074","20241118","10~20만원 미만","1만원 미만","5~7만원 미만","3~5만원 미만","1만원 미만","3~5만원 미만","1만원 미만","강원도","삼척시","2명","모름","M","20대","미혼","미혼","자영업","500~700만원 미만"
"479304","20241118","10~20만원 미만","1만원 미만","5~7만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","서울시","모름","혼자서","2박 3일","M","20대","미혼","미혼","기타/무직","모름"
"479444","20241118","10~20만원 미만","5~7만원 미만","1만원 미만","1~3만원 미만","3~5만원 미만","1만원 미만","1만원 미만","부산시","모름","2명","1박 2일","F","20대","미혼","미혼","대학/대학원생","모름"
"479484","20241118","10~20만원 미만","1~3만원 미만","5~7만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","양양군","2명","1박 2일","F","20대","기혼","신혼기(자녀 없음)","전업주부","300~500만원 미만"
"53322363","20241118","20~30만원 미만","1만원 미만","10만원 이상","1만원 미만","10만원 이상","1만원 미만","1만원 미만","경기도","김포시","2명","1박 2일","F","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","500~700만원 미만"
"53322501","20241118","10~20만원 미만","1만원 미만","10만원 이상","1~3만원 미만","1만원 미만","3~5만원 미만","1만원 미만","강원도","춘천시","2명","1박 2일","M","60대 이상","기타","자녀 독립(막내 결혼)","기능/숙련/일반작업직","300~500만원 미만"
"53322629","20241118","40만원 이상","10만원 이상","10만원 이상","5~7만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","충청남도","부여군","4명","1박 2일","F","60대 이상","기혼","자녀 독립(막내 결혼)","판매/서비스직","300~500만원 미만"
"53322646","20241118","10만원 미만","1~3만원 미만","1~3만원 미만","5~7만원 미만","1~3만원 미만","1만원 미만","1만원 미만","충청북도","제천시","모름","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"53323616","20241118","10~20만원 미만","3~5만원 미만","5~7만원 미만","1~3만원 미만","5~7만원 미만","1만원 미만","1만원 미만","강원도","속초시","4명","1박 2일","F","20대","미혼","미혼","사무/기술직","모름"
"53324299","20241118","10만원 미만","1~3만원 미만","5~7만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","강릉시","3명","3박 4일","F","20대","미혼","미혼","대학/대학원생","모름"
"53324593","20241118","10~20만원 미만","1만원 미만","5~7만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1~3만원 미만","충청남도","서천군","5명 이상","1박 2일","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","500~700만원 미만"
"53324637","20241118","30~40만원 미만","10만원 이상","10만원 이상","5~7만원 미만","1만원 미만","5~7만원 미만","1만원 미만","부산시","모름","2명","3박 4일","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","500~700만원 미만"
"53324786","20241118","10만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","정선군","모름","1박 2일","F","60대 이상","기혼","자녀 독립(막내 결혼)","판매/서비스직","500~700만원 미만"
"53325141","20241118","10~20만원 미만","1~3만원 미만","3~5만원 미만","5~7만원 미만","1만원 미만","1만원 미만","1만원 미만","경상남도","양산시","2명","1박 2일","M","20대","미혼","미혼","사무/기술직","모름"
"53325400","20241118","30~40만원 미만","10만원 이상","10만원 이상","10만원 이상","1만원 미만","1만원 미만","1만원 미만","강원도","속초시","2명","4박 5일","M","60대 이상","기혼","자녀 성인(막내 대학)","자영업","300~500만원 미만"
"53325557","20241118","40만원 이상","1만원 미만","10만원 이상","10만원 이상","5~7만원 미만","1만원 미만","1만원 미만","제주도","한림읍","5명 이상","2박 3일","F","50대","기혼","자녀 독립(막내 결혼)","기타/무직","700만원 이상"
"53325659","20241118","10만원 미만","1만원 미만","5~7만원 미만","1만원 미만","1만원 미만","1~3만원 미만","1만원 미만","충청남도","부여군","3명","1박 2일","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"53325883","20241118","20~30만원 미만","3~5만원 미만","10만원 이상","3~5만원 미만","1만원 미만","1~3만원 미만","1~3만원 미만","충청남도","서천군","5명 이상","3박 4일","M","40대","기혼","신혼기(자녀 없음)","사무/기술직","700만원 이상"
"53325910","20241118","모름","모름","모름","모름","모름","모름","모름","경상북도","예천군","3명","1박 2일","F","20대","미혼","미혼","사무/기술직","300~500만원 미만"
"53326337","20241118","10~20만원 미만","7~10만원 미만","1~3만원 미만","1~3만원 미만","3~5만원 미만","1~3만원 미만","1~3만원 미만","경상북도","문경시","모름","1박 2일","F","50대","기혼","자녀 성인(막내 대학)","판매/서비스직","500~700만원 미만"
"53326483","20241118","30~40만원 미만","1만원 미만","5~7만원 미만","10만원 이상","10만원 이상","1만원 미만","1만원 미만","대전시","모름","혼자서","2박 3일","M","60대 이상","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","300만원 미만"
