RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"250294","20241216","10~20만원 미만","3~5만원 미만","5~7만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","인천시","모름","3명","1박 2일","M","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"366871","20241216","모름","모름","모름","모름","모름","모름","모름","대전시","모름","2명","2박 3일","M","20대","미혼","미혼","기타/무직","모름"
"369359","20241216","20~30만원 미만","7~10만원 미만","5~7만원 미만","10만원 이상","1만원 미만","1만원 미만","1만원 미만","부산시","모름","5명 이상","1박 2일","M","20대","미혼","미혼","사무/기술직","모름"
"380437","20241216","30~40만원 미만","1만원 미만","1~3만원 미만","1~3만원 미만","10만원 이상","10만원 이상","1만원 미만","서울시","모름","2명","4박 5일","M","20대","미혼","미혼","기타/무직","모름"
"411048","20241216","모름","모름","모름","모름","모름","모름","모름","강원도","속초시","5명 이상","3박 4일","M","20대","미혼","미혼","판매/서비스직","모름"
"422188","20241216","10~20만원 미만","1~3만원 미만","3~5만원 미만","5~7만원 미만","1~3만원 미만","1만원 미만","1만원 미만","충청북도","구체적인 지역 모름","5명 이상","1박 2일","M","20대","미혼","미혼","기타/무직","모름"
"426622","20241216","모름","모름","모름","모름","모름","모름","모름","제주도","서귀포시(시내동)","2명","2박 3일","M","20대","미혼","미혼","사무/기술직","모름"
"430325","20241216","40만원 이상","5~7만원 미만","5~7만원 미만","10만원 이상","5~7만원 미만","5~7만원 미만","1만원 미만","경상북도","울릉군","혼자서","1박 2일","M","20대","미혼","미혼","대학/대학원생","모름"
"444657","20241216","모름","모름","모름","모름","모름","모름","모름","강원도","속초시","2명","1박 2일","M","20대","미혼","미혼","사무/기술직","300만원 미만"
"456064","20241216","10~20만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","제주도","대정읍/서귀포시(시내동)/안덕면/애월읍/제주시(시내동)/한경면/한림읍","2명","3박 4일","M","20대","미혼","미혼","대학/대학원생","500~700만원 미만"
