RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
107336,20240429,30~40만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,대전시,모름,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,500~700만원 미만
137899,20240429,40만원 이상,5~7만원 미만,10만원 이상,10만원 이상,1만원 미만,5~7만원 미만,5~7만원 미만,제주도,모름,3명,4박 5일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,500~700만원 미만
160552,20240429,20~30만원 미만,10만원 이상,7~10만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,봉화군,2명,3박 4일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만
197794,20240429,20~30만원 미만,7~10만원 미만,7~10만원 미만,1~3만원 미만,5~7만원 미만,1만원 미만,1만원 미만,대전시,모름,2명,1박 2일,M,20대,미혼,미혼,사무/기술직,300~500만원 미만
241664,20240429,40만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,10만원 이상,1만원 미만,강원도,고성군,4명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상
318344,20240429,20~30만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,충청남도,천안시,2명,2박 3일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300만원 미만
394578,20240429,20~30만원 미만,10만원 이상,7~10만원 미만,1~3만원 미만,5~7만원 미만,1만원 미만,1만원 미만,경기도,여주시,3명,3박 4일,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만
403229,20240429,10~20만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,충청남도,천안시,2명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),경영/관리/전문직,700만원 이상
409605,20240429,30~40만원 미만,10만원 이상,7~10만원 미만,10만원 이상,1만원 미만,3~5만원 미만,1만원 미만,강원도,고성군/속초시,3명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,모름
411882,20240429,모름,모름,모름,모름,모름,모름,모름,부산시,모름,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만
