지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1018.0,2.96
41113,수원시 권선구,1181.0,2.86
41115,수원시 팔달구,671.0,2.63
41117,수원시 영통구,971.0,2.92
41131,성남시 수정구,1000.0,2.94
41133,성남시 중원구,1158.0,2.77
41135,성남시 분당구,949.0,3.03
41150,의정부시,1474.0,2.92
41171,안양시 만안구,1044.0,2.86
41173,안양시 동안구,1111.0,2.9
41190,부천시,1454.0,2.98
41210,광명시,916.0,2.9
41220,평택시,2278.0,3.02
41250,동두천시,1468.0,2.86
41271,안산시 상록구,1577.0,2.9
41273,안산시 단원구,1178.0,2.68
41281,고양시 덕양구,915.0,2.96
41285,고양시 일산동구,914.0,2.97
41287,고양시 일산서구,935.0,2.95
41290,과천시,640.0,3.0
41310,구리시,702.0,2.84
41360,남양주시,1231.0,2.9
41370,오산시,1365.0,2.92
41390,시흥시,1115.0,2.88
41410,군포시,1256.0,2.92
41430,의왕시,680.0,2.84
41450,하남시,809.0,2.99
41461,용인시 처인구,1179.0,2.71
41463,용인시 기흥구,1290.0,3.07
41465,용인시 수지구,1331.0,3.02
41480,파주시,1117.0,2.83
41500,이천시,1162.0,2.88
41550,안성시,1133.0,2.82
41570,김포시,1393.0,3.0
41590,화성시,1533.0,2.85
41610,광주시,1102.0,2.91
41630,양주시,1164.0,2.8
41650,포천시,1273.0,2.54
41670,여주시,946.0,2.67
41800,연천군,1225.0,2.49
41820,가평군,964.0,2.24
41830,양평군,890.0,2.43
