기준연월,동반유형명,언급건수
202101,기타가족,5747
202101,회사동료,3468
202101,부모님,2761
202101,친구,2635
202101,자녀,2208
202101,배우자,1318
202101,싱글,1101
202101,연인,800
202101,학생,499
