지표 코드,지표명,지표 순위값,지역명
1,방문자유입,63,수성구
2,숙박방문자 비율,97,수성구
3,체류시간,147,수성구
4,목적지 검색량,79,수성구
5,관광소비,85,수성구
1,방문자유입,115,달성군
2,숙박방문자 비율,147,달성군
3,체류시간,145,달성군
4,목적지 검색량,123,달성군
5,관광소비,143,달성군
1,방문자유입,39,파주시
2,숙박방문자 비율,45,파주시
3,체류시간,104,파주시
4,목적지 검색량,5,파주시
5,관광소비,20,파주시
1,방문자유입,47,김포시
2,숙박방문자 비율,51,김포시
3,체류시간,94,김포시
4,목적지 검색량,24,김포시
5,관광소비,25,김포시
