업종중분류명,업체명,방문자수,순위
쇼핑,신세계프리미엄아울렛/파주점,154.0,1
쇼핑,롯데프리미엄아울렛/파주점,112.0,2
쇼핑,이마트/파주운정점,67.0,3
쇼핑,홈플러스/파주운정점,54.0,4
쇼핑,운정가구타운,28.0,5
쇼핑,이마트/파주점,12.0,6
쇼핑,홈플러스/파주문산점,6.0,7
쇼핑,이채쇼핑몰,2.0,8
쇼핑,롯데쇼핑롭스파주아울렛점,1.0,9
쇼핑,문산자유시장,1.0,10
음식,앤드테라스/파주점,10.0,1
음식,더티트렁크,8.0,2
음식,이삭토스트 파주운정이마트점,7.0,3
음식,초원오리농장,6.0,4
음식,버터킹빵공장,6.0,5
음식,훈장골/파주점,5.0,6
음식,취선향/본점 [중식],4.0,7
음식,식빵연구소,4.0,8
음식,교하정,4.0,9
음식,KFC/야당역점,4.0,10
문화관광,운정호수공원,33.0,1
문화관광,평화누리,28.0,2
문화관광,자유로자동차극장,14.0,3
문화관광,퍼스트가든,8.0,4
문화관광,운정건강공원,5.0,5
문화관광,율곡습지공원,4.0,6
문화관광,메가박스/파주운정,4.0,7
문화관광,오두산통일전망대,4.0,8
문화관광,교하중앙공원,2.0,9
문화관광,CGV/파주야당,2.0,10
