업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,22.0,1
음식,가나안덕/일산본점,16.0,2
음식,설문커피,11.0,3
음식,본구이/일산점,11.0,4
음식,애니골,10.0,5
음식,카페떼오,8.0,6
음식,맥도날드/중산DT점,8.0,7
음식,포레스트아웃팅스/일산,7.0,8
음식,민속집/[한식],7.0,9
음식,미덕원/일산점,7.0,10
쇼핑,라페스타,90.0,1
쇼핑,코스트코홀세일/일산점,89.0,2
쇼핑,롯데백화점/일산점,33.0,3
쇼핑,이마트/풍산점,31.0,4
쇼핑,뉴코아아울렛/일산점,22.0,5
쇼핑,벨라시타,22.0,6
쇼핑,홈플러스/일산점,15.0,7
쇼핑,롯데아울렛/고양터미널점,8.0,8
쇼핑,홈플러스/고양터미널점,6.0,9
쇼핑,이마트/일산점,4.0,10
문화관광,일산호수공원,69.0,1
문화관광,중산체육공원,3.0,2
문화관광,CGV/일산,3.0,3
문화관광,메가박스/백석,3.0,4
문화관광,지영체육공원,2.0,5
문화관광,증권박물관,2.0,6
문화관광,고양시공원관리사업소,1.0,7
문화관광,일산호수공원/반려동물놀이터,1.0,8
문화관광,HM풋살파크/홈플러스일산점,1.0,9
문화관광,고양장항야구장,1.0,10
