순위,관광지ID,관광지명,분류
31,ab877cfe858382acf39ee3115fe1053e,타이거CC,레저스포츠
32,b1b7fe84a7d62a2e75e88e09276be6c0,임진각평화누리캠핑장,숙박
33,bc78c14553ba3a0161e53727d724104e,메가박스/파주운정,문화관광
34,31683e92b872766a73e3f28a217a54d3,뮤지엄헤이,문화관광
35,04a0154e9869db9bf645448404707719,파주리조트골프클럽PRGC,레저스포츠
36,f9ede4a268567247a072eccb383f8b78,파주임진각평화곤돌라,레저스포츠
37,0ef8b4527ee20b9330955f845ec78ed5,파크뷰테라스,숙박
38,2da3df196ff25fa5183cddba80a6df9b,심학산,자연관광
39,f78416774c6b489e23b5aa6b84c8fce4,파주이이유적,역사관광
40,f9ede4a268567247a072eccb383f8b78,파주임진각평화곤돌라,기타관광
41,877f0160d905ac319322724a9592986b,파주공룡박물관,문화관광
42,b2301498351ebc3feb62d0487ceff6fb,롯데시네마/파주롯데아울렛,문화관광
43,d6a972d506b2b7e7e7d680d25c30463a,하니랜드,문화관광
44,f7688e9e63207c3f02fa33de4729c77f,베스트밸리GC,레저스포츠
45,382f4c95b87ee7b8a0ed07179b22f27f,금촌전통시장,쇼핑
46,4cc3ba145498006d92d61503d06d3031,롯데시네마/파주운정,문화관광
47,bc680d582b21d2f20c185abbe4ceed90,지지향게스트하우스,숙박
48,750985c562e39bebf6af094dbfc0a121,파주삼릉,역사관광
49,0f3d8c6ee51560fd404daedea8769c74,황포돛배나루터,기타관광
50,046c8d92a8e2298c2f5755a455d64149,평화랜드,문화관광
51,d089f5135b655d8c0f39853d2cc2d0af,자유로자동차극장,문화관광
52,33ef3f78240dadd22b84766d3f98ab43,골든힐호텔,숙박
53,e2b7c908078f80d58777a8ffe2b4c1a9,메가박스/파주출판도시,문화관광
54,2646d130ff5728fd46d6e6dd35c8b40c,테이블에이동물원/파주점,문화관광
55,c664700bd14e49b091436d84378c0391,케이힐스더테라스,숙박
56,7f173be334b2e7d6b9658b4b366402b0,율곡수목원,문화관광
57,2266273b9cb5cb4e9d406a15b04c2724,콰트로박스,문화관광
58,1e2e763c5f4343a048cbab40d87e3029,파주J퍼블릭GC,레저스포츠
59,d38b03ce3f2dab83468c6b25e62298a9,운정건강공원,문화관광
60,3b8daccd597a508de28c1f45dd56fed1,아미가골프장,레저스포츠
61,5ba58956030aee3e1bff9b33349d5e30,힐즈호텔,숙박
62,ea9af19872ea6f89502ae63c8b83367a,명필름아트센터,문화관광
63,e8a59e615752b49be6eac5e5f6ed1154,파인빌골프클럽,레저스포츠
64,fcb65b55359c8d8003b516c29e5a11c1,금촌통일시장,쇼핑
65,c8a2d04e988792042ca48dfde9d1407f,오성골프클럽,레저스포츠
66,960a133e5e452ad72bc27a9701c308bd,메가박스/파주금촌,문화관광
67,00d198d86f7024b1d0a696295f668978,운정가구단지,쇼핑
68,2b098d70917d04227685a908e784293b,장릉,역사관광
69,fecd9849410ecc9e0090ee03c761347f,화석정,역사관광
70,ffaa593b638f70053ceed146fbe7c76e,판문점,기타관광
71,6fa2aa22c0de9d24cf98fe0096ea5feb,호텔시에나,숙박
72,165a47bd76c84650066fa9a5d511954b,마장호수전망대,문화관광
73,7cb02cfaa4a6b43d826fa840a7cbdeff,CGV/파주문산,문화관광
74,9982227bb315a9f178ea2119c12ab7e3,잇츠콜라박물관,문화관광
75,1dbb14fa93954417628146ea816c62a5,소울원,문화관광
76,d80e1b8c379a799fdd353e52749a83a6,미즈호텔,숙박
77,a4d02cd76ea178c7a642487b99448d46,임진각관광안내소,기타관광
78,4eb4db9a415a5637a8e0c2c55e6beb3a,파주가야랜드,체험관광
79,91d10c23191ef97428aee613b4f2e677,장산전망대,문화관광
80,25b9b4eadea9543fef98c9ce4674583c,교하체육공원,문화관광
81,99182473f2c188c1126011e920708caf,프롬에이치소도호텔/파주점,숙박
82,da5659c6a6cae312cf98d95bdbc00af6,운정체육공원,문화관광
83,e2ef2bf062004358fc41066d7e6b9918,마리호텔,숙박
84,1b9928eeaf2065c6406dca7fd58517c9,마장호수,자연관광
85,664ddc2b7d21e664f26ce5de8a3de40e,용암사,역사관광
86,c6e84c1a2b1b50ce0d7695feae66f54b,플레이월드/파주점,문화관광
87,2d273bf3ef966385468e84bf74f191ab,브라운도트/금촌점,숙박
88,ad80a68c67a5d5f2942f5a0b5e2691c0,반구정,역사관광
89,45b3375e636d8bfeb1a33149c5e671dc,파주출판단지근린공원,문화관광
90,ec2dd56cac630cb65383ed0cbcd144c8,사파리체험테마파크,기타관광
91,bbdf3611af57d346cc0908666450fb65,헤이리무장애노을숲길,레저스포츠
92,7f61c54b6bf69e8898393c2c54e57818,심학산파크골프장,레저스포츠
93,d24e5f4d09f3d98cbf2353816aa38fa2,웨스트힐호텔,숙박
94,135750bbcc2887b60bebb5153b49cba5,금촌체육공원,문화관광
95,de535e267c10a7c88f2ed4283e8484da,검단사,역사관광
96,bb4e1f5bdc3916fd604a1b3ffe5a8407,봉일천종합시장,쇼핑
97,60914233f0d72e6200d9cae529a1c2fd,심학산둘레길,레저스포츠
98,e03bd741ad8e02f4bededc7d785a224e,쥬라리움/파주점,문화관광
99,c821a7f19ce56bc0a7cd7777a19835b1,파주팜랜드,기타관광
100,0a251bb8744233957ef78186de514292,호텔그라체/금촌점,숙박
