기간,기초지자체,중분류,소비액(천원) (내국인),전년동기 소비액 (내국인),소비액(천원) (외국인)
22.10~23.09,경기도,관광총소비,,,25685768.0
22.10~23.09,경기도,관광총소비,,,14154894.0
22.10~23.09,경기도,관광총소비,,,7510480.0
22.10~23.09,경기도,관광총소비,,,1346417.0
22.10~23.09,경기도,관광총소비,,,3288203.0
22.10~23.09,경기도,관광총소비,,,6948167.0
22.10~23.09,경기도,관광총소비,,,3347177.0
22.10~23.09,경기도,관광총소비,,,8446438.0
22.10~23.09,경기도,관광총소비,,,2316725.0
22.10~23.09,경기도,관광총소비,,,8602423.0
22.10~23.09,경기도,관광총소비,,,7182478.0
22.10~23.09,경기도,관광총소비,,,9834650.0
22.10~23.09,경기도,관광총소비,,,15643648.0
22.10~23.09,경기도,관광총소비,,,12036920.0
22.10~23.09,경기도,관광총소비,,,27071639.0
22.10~23.09,경기도,관광총소비,,,7010325.0
22.10~23.09,경기도,관광총소비,,,10869848.0
22.10~23.09,경기도,관광총소비,,,18392984.0
22.10~23.09,경기도,관광총소비,,,26422248.0
22.10~23.09,경기도,관광총소비,,,3605466.0
22.10~23.09,경기도,관광총소비,,,2785340.0
22.10~23.09,경기도,관광총소비,,,3443738.0
22.10~23.09,경기도,관광총소비,,,16424380.0
22.10~23.09,경기도,관광총소비,,,281354.0
22.10~23.09,경기도,관광총소비,,,3848804.0
22.10~23.09,경기도,관광총소비,,,1527241.0
22.10~23.09,고양시 덕양구,관광총소비,1636314009.0,1561470227.0,
22.10~23.09,고양시 일산동구,관광총소비,1286125424.0,1201902411.0,
22.10~23.09,고양시 일산서구,관광총소비,827067133.0,839251717.0,
22.10~23.09,과천시,관광총소비,171758533.0,159567353.0,
22.10~23.09,광명시,관광총소비,613655269.0,621810136.0,
22.10~23.09,광주시,관광총소비,831338951.0,819698320.0,
22.10~23.09,구리시,관광총소비,661316561.0,605885223.0,
22.10~23.09,군포시,관광총소비,388116666.0,352983477.0,
22.10~23.09,김포시,관광총소비,1391426788.0,1349121144.0,
22.10~23.09,남양주시,관광총소비,1485724195.0,1446008735.0,
22.10~23.09,동두천시,관광총소비,141357324.0,129726652.0,
22.10~23.09,부천시 소사구,관광총소비,828896888.0,783831732.0,
22.10~23.09,부천시 오정구,관광총소비,579216524.0,597174565.0,
22.10~23.09,부천시 원미구,관광총소비,1075070947.0,1004277459.0,
22.10~23.09,성남시 분당구,관광총소비,2600125962.0,2390955294.0,
22.10~23.09,성남시 수정구,관광총소비,645688098.0,583554862.0,
22.10~23.09,성남시 중원구,관광총소비,468056176.0,426356900.0,
22.10~23.09,수원시 권선구,관광총소비,1100363025.0,1107922216.0,
22.10~23.09,수원시 영통구,관광총소비,1069109410.0,1028465681.0,
