기간,기준년월,기초지자체,중분류,소비액(천원) (내국인),소비액(천원) (외국인)
21.10~22.09,202203,파주시,여행업,3948.0,0.0
21.10~22.09,202203,파주시,육상운송,17049297.0,8163.0
21.10~22.09,202203,파주시,의료관광,213483.0,6346.0
21.10~22.09,202203,파주시,일반외식업,21805136.0,60803.0
21.10~22.09,202203,파주시,제과음료업,5441055.0,21384.0
21.10~22.09,202203,파주시,캠핑장/펜션,48314.0,40.0
21.10~22.09,202203,파주시,호텔,138845.0,0.0
21.10~22.09,202204,파주시,골프장,11047791.0,31497.0
21.10~22.09,202204,파주시,관광유원시설,568429.0,908.0
21.10~22.09,202204,파주시,관광총소비,123680240.0,898769.0
21.10~22.09,202204,파주시,기타관광쇼핑,16609000.0,186536.0
21.10~22.09,202204,파주시,기타레저,1906420.0,16024.0
21.10~22.09,202204,파주시,기타숙박,704335.0,5176.0
21.10~22.09,202204,파주시,대형쇼핑몰,38361146.0,480889.0
21.10~22.09,202204,파주시,레저용품쇼핑,1805321.0,2286.0
21.10~22.09,202204,파주시,렌터카,12910.0,
21.10~22.09,202204,파주시,문화서비스,449655.0,1827.0
21.10~22.09,202204,파주시,뷰티,1032608.0,6788.0
21.10~22.09,202204,파주시,여행업,29837.0,
21.10~22.09,202204,파주시,육상운송,17358996.0,31211.0
21.10~22.09,202204,파주시,의료관광,195622.0,24626.0
21.10~22.09,202204,파주시,일반외식업,26907413.0,89265.0
21.10~22.09,202204,파주시,제과음료업,6532314.0,20373.0
21.10~22.09,202204,파주시,캠핑장/펜션,51597.0,0.0
21.10~22.09,202204,파주시,호텔,106846.0,1362.0
21.10~22.09,202205,파주시,골프장,12443233.0,43599.0
21.10~22.09,202205,파주시,관광유원시설,709969.0,1121.0
21.10~22.09,202205,파주시,관광총소비,134060043.0,1067629.0
21.10~22.09,202205,파주시,기타관광쇼핑,18003435.0,248398.0
21.10~22.09,202205,파주시,기타레저,2361008.0,14876.0
21.10~22.09,202205,파주시,기타숙박,762949.0,12423.0
21.10~22.09,202205,파주시,대형쇼핑몰,37483384.0,550185.0
21.10~22.09,202205,파주시,레저용품쇼핑,2354970.0,4520.0
21.10~22.09,202205,파주시,렌터카,15485.0,
21.10~22.09,202205,파주시,문화서비스,1159216.0,1778.0
21.10~22.09,202205,파주시,뷰티,1086645.0,6529.0
21.10~22.09,202205,파주시,여행업,32936.0,
21.10~22.09,202205,파주시,육상운송,18826936.0,32639.0
21.10~22.09,202205,파주시,의료관광,214758.0,16872.0
21.10~22.09,202205,파주시,일반외식업,31378177.0,98000.0
21.10~22.09,202205,파주시,제과음료업,6994733.0,29064.0
21.10~22.09,202205,파주시,캠핑장/펜션,67085.0,0.0
21.10~22.09,202205,파주시,호텔,165123.0,7625.0
21.10~22.09,202206,파주시,골프장,11084054.0,31517.0
21.10~22.09,202206,파주시,관광유원시설,415538.0,964.0
