소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.1,0.8
60대,6.4,3.7
50대,14.4,8.4
40대,16.8,9.3
30대,15.9,8.6
20대,7.9,5.9
10대,0.2,0.1
