순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202201,95543,95543.0
2,경기도,파주시,퍼스트가든,202201,21790,21790.0
3,경기도,파주시,헤이리예술마을,202201,20600,20600.0
4,경기도,파주시,통일전망대,202201,11582,11582.0
5,경기도,파주시,공릉관광지(하니랜드),202201,5867,5867.0
6,경기도,파주시,벽초지수목원,202201,3923,3923.0
7,경기도,파주시,서서울컨트리클럽,202201,2963,2963.0
8,경기도,파주시,경기미래교육 파주캠퍼스,202201,2674,2674.0
9,경기도,파주시,쇠꼴마을,202201,2642,2642.0
10,경기도,파주시,서원밸리골프클럽,202201,2631,2631.0
11,경기도,파주시,황희선생유적지,202201,2512,2512.0
12,경기도,파주시,율곡선생유적지,202201,2130,2130.0
13,경기도,파주시,파주삼릉,202201,2058,2058.0
14,경기도,파주시,파주장릉,202201,1541,1541.0
15,경기도,파주시,우농타조농장,202201,1478,1478.0
16,경기도,파주시,베스트밸리,202201,1238,1238.0
17,경기도,파주시,산머루농원,202201,714,714.0
18,경기도,파주시,소울원,202201,398,398.0
19,경기도,파주시,두루뫼박물관,202201,87,87.0
20,경기도,파주시,영집궁시박물관,202201,73,73.0
