순위,관광지ID,관광지명,분류
73,414f41a056ce96b3aed0382411573f09,파주송어축제,문화관광
74,8ba7d34fbaaa3b92829f3d289d87ca42,쇠꼴마을,체험관광
75,95629f5c4b4702f552caef72d5c3a470,신세계팩토리스토어/파주점,쇼핑
76,046c8d92a8e2298c2f5755a455d64149,평화랜드,문화관광
77,165a47bd76c84650066fa9a5d511954b,마장호수전망대,문화관광
78,e7e183dedfbef97f99b152c3974a7072,노스팜CC,레저스포츠
79,5f4eb09e90278cec45c8d49b8fc5dc4e,타조마을,체험관광
80,e3eb11d5fc8791b1c6a6efe4d62ae5ba,발랑저수지,자연관광
81,ad80a68c67a5d5f2942f5a0b5e2691c0,반구정,역사관광
82,0f3d8c6ee51560fd404daedea8769c74,황포돛배나루터,기타관광
83,7cb02cfaa4a6b43d826fa840a7cbdeff,CGV/파주문산,문화관광
84,25b9b4eadea9543fef98c9ce4674583c,교하체육공원,문화관광
85,664ddc2b7d21e664f26ce5de8a3de40e,용암사,역사관광
86,35b0d5f9c105b6d1db6192118334cd58,활판인쇄박물관,문화관광
87,1dbb14fa93954417628146ea816c62a5,소울원,문화관광
88,394267994d84ed879274bf65b8ed19fe,율곡습지공원,문화관광
89,c6022543141ce4b3d369b5d66a2fbf30,다온무인텔,숙박
90,0c6095f0d9f62f7b39aa1e14cd72a2ba,광탄낚시레저타운,레저스포츠
91,de535e267c10a7c88f2ed4283e8484da,검단사,역사관광
92,da5659c6a6cae312cf98d95bdbc00af6,운정체육공원,문화관광
93,fecd9849410ecc9e0090ee03c761347f,화석정,역사관광
94,534c2c3f1fd9253bd3813f192d54b026,파주스피드파크,레저스포츠
95,bb4e1f5bdc3916fd604a1b3ffe5a8407,봉일천종합시장,쇼핑
96,4eb4db9a415a5637a8e0c2c55e6beb3a,파주가야랜드,체험관광
97,f7688e9e63207c3f02fa33de4729c77f,베스트밸리GC,레저스포츠
98,f6d0c6ee8a151f1b2cf970d87cb6a211,삼오팜딸기농원,체험관광
99,68a40fc5d3af9364317e6617c5ef97b6,교하중앙공원,문화관광
100,b5b921fae0debd8ef97179dec44d13a6,적성공설시장,쇼핑
