업종중분류명,현지인 검색비율,외지인 검색비율
음식,52.8,40.8
기타관광,13.4,12.9
문화관광,11.6,11.9
쇼핑,10.3,16.4
레저스포츠,4.9,10.0
숙박,4.2,5.3
역사관광,1.3,1.4
자연관광,1.1,1.0
체험관광,0.4,0.3
