유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,13.0,36.6
기타관광,기타관광,13.0,63.4
레저스포츠,기타레저스포츠,8.9,6.0
레저스포츠,수상레저스포츠,8.9,3.7
레저스포츠,육상레저스포츠,8.9,90.3
문화관광,기타문화관광지,11.8,4.1
문화관광,도시/지역문화관광,11.8,0.0
문화관광,도시공원,11.8,32.1
문화관광,랜드마크관광,11.8,4.9
문화관광,복합관광시설,11.8,7.5
문화관광,테마공원,11.8,22.1
문화관광,레저스포츠시설,11.8,1.7
문화관광,공연시설,11.8,20.7
문화관광,전시시설,11.8,7.0
쇼핑,쇼핑몰,15.1,94.1
쇼핑,시장,15.1,4.4
쇼핑,기타쇼핑시설,15.1,1.5
숙박,기타숙박,5.0,0.0
숙박,모텔,5.0,30.1
숙박,펜션/민박,5.0,13.6
숙박,호스텔,5.0,2.6
숙박,호텔,5.0,25.5
숙박,캠핑,5.0,28.2
역사관광,역사유물,1.4,1.0
역사관광,역사유적지,1.4,38.6
역사관광,종교성지,1.4,60.4
음식,간이음식,43.4,9.0
음식,외국식,43.4,6.4
음식,음식점기타,43.4,0.3
음식,전문음식,43.4,17.7
음식,한식,43.4,35.8
음식,카페/찻집,43.4,30.9
자연관광,자연경관(하천/해양),1.0,23.9
자연관광,자연경관(산),1.0,37.4
자연관광,자연공원,1.0,38.7
체험관광,농/산/어촌체험,0.3,72.9
체험관광,웰니스관광,0.3,24.9
체험관광,공예체험,0.3,2.2
