국가명,비율(%)
기타,24.28
태국,16.08
미국,10.77
중국,9.17
인도네시아,6.63
싱가포르,5.79
일본,5.77
베트남,3.24
프랑스,2.24
필리핀,2.23
독일,1.84
캐나다,1.8
영국,1.75
오스트레일리아,1.6
인도,1.59
러시아,1.41
몽골,0.92
말레이시아,0.85
카자흐스탄,0.74
대만,0.33
튀르키예,0.28
멕시코,0.24
사우디아라비아,0.18
홍콩,0.18
아랍에미리트,0.08
