방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.7
60~69세,9.0,5.5
50~59세,13.3,8.3
40~49세,11.7,6.7
30~39세,10.7,7.0
20~29세,11.6,6.2
10~19세,2.1,1.6
0~9세,0.4,0.5
