거리구분명,방문자수,방문자비율
30km 미만,1588440.0,43.0
30km 이상 70km 미만,1674676.0,45.34
70km 이상 140km 미만 ,183680.0,4.97
140km 이상 190km 미만,69181.0,1.87
190km 이상 240km 미만,33806.0,0.92
240km 이상 ,143944.0,3.9
