기준연월,목적지 유형,목적지 검색량
202206,전체,664131
202206,숙박,33504
202206,음식,288416
202206,기타관광,86569
202206,쇼핑,100135
202206,자연관광,6561
202206,문화관광,78506
202206,역사관광,9168
202206,체험관광,2224
202206,레저스포츠,59048
