기준연월,동반유형명,언급건수
202207,기타가족,12984
202207,친구,6734
202207,부모님,6066
202207,자녀,5220
202207,회사동료,4808
202207,배우자,3675
202207,싱글,2554
202207,연인,1838
202207,학생,1229
