업종중분류명,업체명,방문자수,순위
음식,포레스트아웃팅스,25.0,1
음식,일산칼국수/본점,23.0,2
음식,맥도날드/중산DT점,15.0,3
음식,가나안덕/일산본점,13.0,4
음식,등촌샤브칼국수/일산본점,12.0,5
음식,설문커피,12.0,6
음식,큰바다해물아구찜,11.0,7
음식,뿅의전설/일산점 [중식],9.0,8
음식,미덕원/일산점,8.0,9
음식,진밭국수,8.0,10
쇼핑,코스트코홀세일/일산점,92.0,1
쇼핑,라페스타,54.0,2
쇼핑,벨라시타,50.0,3
쇼핑,이마트/풍산점,27.0,4
쇼핑,뉴코아아울렛/일산점,23.0,5
쇼핑,롯데아울렛/고양터미널점,14.0,6
쇼핑,롯데백화점/일산점,12.0,7
쇼핑,해태쇼핑타운,7.0,8
쇼핑,이마트/일산점,5.0,9
쇼핑,홈플러스/일산점,5.0,10
문화관광,일산호수공원,49.0,1
문화관광,고양아람누리,6.0,2
문화관광,CGV/일산,6.0,3
문화관광,중산체육공원,4.0,4
문화관광,증권박물관,2.0,5
문화관광,메가박스/일산벨라시타,2.0,6
문화관광,메가박스/백석,2.0,7
문화관광,정발산공원,2.0,8
문화관광,안곡습지공원,1.0,9
문화관광,식사동중앙공원,1.0,10
